,USDLTL,USDPHP,USDHKD,USDCHF,USDBGN,USDHRK,USDCNY,USDJPY,USDPLN,USDNZD,USDLVL,USDZAR,USDAUD,USDIDR,USDSEK,USDINR,USDTHB,USDMXN,USDEUR,USDCAD,USDHUF,USDCZK,USDBRL,USDRON,USDILS,USDKRW,USDTRY,USDGBP,USDDKK,USDSGD,USDNOK,USDRUB,USDMYR,time,USDUSD,USDEEK
16,2.6299,40.694,7.7561,0.92993,1.4897,5.7777,6.2244,92.216,3.1621,1.2042,0.5337,8.9535,0.97563,9674.8,6.4342,54.373,29.77,12.762,0.76167,1.0253,225.3,19.527,1.9705,3.32,3.7071,1084.4,1.796,0.65732,5.679,1.2367,5.7026,30.53,3.0937,2013-02-28 00:00:00+00:00,1.0,
17,2.656,40.667,7.7562,0.94192,1.5045,5.8394,6.2237,92.715,3.1905,1.2122,0.53892,9.0838,0.98008,9693.1,6.4354,54.914,29.79,12.849,0.76923,1.0336,227.1,19.752,1.9865,3.3569,3.7298,1088.9,1.8044,0.66515,5.7355,1.24,5.7581,30.75,3.0971,2013-03-01 00:00:00+00:00,1.0,
18,2.656,40.667,7.7562,0.94192,1.5045,5.8394,6.2237,92.715,3.1905,1.2122,0.53892,9.0838,0.98008,9693.1,6.4354,54.914,29.79,12.849,0.76923,1.0336,227.1,19.752,1.9865,3.3569,3.7298,1088.9,1.8044,0.66515,5.7355,1.24,5.7581,30.75,3.0971,2013-03-02 00:00:00+00:00,1.0,
19,2.656,40.667,7.7562,0.94192,1.5045,5.8394,6.2237,92.715,3.1905,1.2122,0.53892,9.0838,0.98008,9693.1,6.4354,54.914,29.79,12.849,0.76923,1.0336,227.1,19.752,1.9865,3.3569,3.7298,1088.9,1.8044,0.66515,5.7355,1.24,5.7581,30.75,3.0971,2013-03-03 00:00:00+00:00,1.0,
20,2.6546,40.813,7.7558,0.94226,1.5037,5.8395,6.2258,93.542,3.1827,1.2161,0.53848,9.0874,0.9857,9714.8,6.4428,54.865,29.83,12.797,0.76882,1.0287,228.12,19.728,1.9842,3.3559,3.7305,1091.2,1.8024,0.66426,5.7319,1.2464,5.7242,30.752,3.107,2013-03-04 00:00:00+00:00,1.0,
21,2.6491,40.751,7.7566,0.94192,1.5005,5.8255,6.2195,93.179,3.1694,1.2094,0.53782,9.0694,0.97706,9700.0,6.3974,54.865,29.8,12.736,0.76722,1.0265,229.3,19.663,1.9702,3.3478,3.7353,1088.5,1.7946,0.65966,5.7202,1.2463,5.7081,30.712,3.1027,2013-03-05 00:00:00+00:00,1.0,
22,2.6489,40.711,7.756,0.94369,1.5004,5.8249,6.2191,93.479,3.1834,1.1991,0.53763,9.051,0.972,9696.2,6.3797,54.753,29.76,12.708,0.76717,1.0286,229.04,19.613,1.9663,3.3432,3.727,1083.8,1.7925,0.66314,5.7197,1.2462,5.6962,30.675,3.1068,2013-03-06 00:00:00+00:00,1.0,
23,2.654,40.753,7.7571,0.94681,1.5033,5.8344,6.2203,94.389,3.1908,1.2071,0.53843,9.1729,0.97502,9694.1,6.3751,54.613,29.75,12.801,0.76864,1.0317,230.21,19.608,1.9686,3.3474,3.7264,1087.9,1.7992,0.66487,5.7299,1.2474,5.7006,30.769,3.1076,2013-03-07 00:00:00+00:00,1.0,
24,2.6185,40.738,7.7567,0.93068,1.4832,5.7551,6.2406,93.266,3.1502,1.1934,0.53064,8.8715,0.96792,9707.3,6.4138,54.252,29.84,12.723,0.75838,1.0206,221.86,19.333,1.9672,3.3205,3.709,1085.3,1.7927,0.65376,5.6572,1.2377,5.6628,30.381,3.1015,2013-02-23 00:00:00+00:00,1.0,
25,2.6185,40.738,7.7567,0.93068,1.4832,5.7551,6.2406,93.266,3.1502,1.1934,0.53064,8.8715,0.96792,9707.3,6.4138,54.252,29.84,12.723,0.75838,1.0206,221.86,19.333,1.9672,3.3205,3.709,1085.3,1.7927,0.65376,5.6572,1.2377,5.6628,30.381,3.1015,2013-02-24 00:00:00+00:00,1.0,
26,2.6377,40.658,7.7555,0.94385,1.4941,5.7989,6.2195,95.875,3.1612,1.2062,0.53552,9.0909,0.97311,9683.7,6.359,54.375,29.72,12.727,0.76394,1.029,227.38,19.437,1.954,3.3298,3.6794,1090.3,1.7945,0.66539,5.6969,1.2465,5.6864,30.65,3.106,2013-03-08 00:00:00+00:00,1.0,
27,2.6377,40.658,7.7555,0.94385,1.4941,5.7989,6.2195,95.875,3.1612,1.2062,0.53552,9.0909,0.97311,9683.7,6.359,54.375,29.72,12.727,0.76394,1.029,227.38,19.437,1.954,3.3298,3.6794,1090.3,1.7945,0.66539,5.6969,1.2465,5.6864,30.65,3.106,2013-03-09 00:00:00+00:00,1.0,
28,2.6377,40.658,7.7555,0.94385,1.4941,5.7989,6.2195,95.875,3.1612,1.2062,0.53552,9.0909,0.97311,9683.7,6.359,54.375,29.72,12.727,0.76394,1.029,227.38,19.437,1.954,3.3298,3.6794,1090.3,1.7945,0.66539,5.6969,1.2465,5.6864,30.65,3.106,2013-03-10 00:00:00+00:00,1.0,
29,2.6385,40.594,7.7579,0.94055,1.4946,5.7944,6.2169,95.95,3.1717,1.2141,0.53599,9.1785,0.96355,9705.8,6.382,54.005,29.54,12.413,0.76418,1.0203,233.16,19.544,1.9704,3.3571,3.6796,1110.3,1.8085,0.66025,5.6993,1.2482,5.7562,30.624,3.1237,2013-03-15 00:00:00+00:00,1.0,
30,2.6385,40.594,7.7579,0.94055,1.4946,5.7944,6.2169,95.95,3.1717,1.2141,0.53599,9.1785,0.96355,9705.8,6.382,54.005,29.54,12.413,0.76418,1.0203,233.16,19.544,1.9704,3.3571,3.6796,1110.3,1.8085,0.66025,5.6993,1.2482,5.7562,30.624,3.1237,2013-03-16 00:00:00+00:00,1.0,
31,2.6385,40.594,7.7579,0.94055,1.4946,5.7944,6.2169,95.95,3.1717,1.2141,0.53599,9.1785,0.96355,9705.8,6.382,54.005,29.54,12.413,0.76418,1.0203,233.16,19.544,1.9704,3.3571,3.6796,1110.3,1.8085,0.66025,5.6993,1.2482,5.7562,30.624,3.1237,2013-03-17 00:00:00+00:00,1.0,
32,2.6706,40.68,7.7616,0.94524,1.5127,5.8686,6.2185,95.042,3.2149,1.2132,0.54235,9.1778,0.96264,9712.3,6.4483,54.125,29.53,12.484,0.77346,1.0218,237.58,19.816,1.9875,3.415,3.6931,1113.0,1.815,0.66223,5.7659,1.2497,5.8021,30.875,3.1315,2013-03-18 00:00:00+00:00,1.0,
33,2.6673,40.727,7.7628,0.94415,1.5109,5.8654,6.2165,95.55,3.2143,1.2159,0.54206,9.2854,0.96323,9725.0,6.4406,54.345,29.12,12.39,0.7725,1.0252,235.59,19.83,1.9815,3.4174,3.6783,1114.7,1.82,0.66064,5.7576,1.2515,5.8285,30.861,3.1225,2013-03-20 00:00:00+00:00,1.0,
34,2.6745,40.744,7.763,0.94694,1.5149,5.883,6.2179,95.236,3.24,1.2002,0.54353,9.299,0.95856,9739.0,6.4798,54.245,29.17,12.383,0.77459,1.0233,236.58,19.995,1.9927,3.4222,3.6639,1114.2,1.8145,0.65968,5.7731,1.2496,5.8466,30.936,3.1216,2013-03-21 00:00:00+00:00,1.0,
35,2.6667,40.838,7.7634,0.94316,1.5105,5.8654,6.212,94.88,3.2285,1.2017,0.5424,9.3227,0.9586,9754.4,6.5054,54.341,29.32,12.412,0.77232,1.024,237.3,19.951,2.0136,3.4201,3.6527,1119.4,1.8194,0.65863,5.7559,1.2494,5.8229,30.901,3.1121,2013-03-22 00:00:00+00:00,1.0,
36,2.6667,40.838,7.7634,0.94316,1.5105,5.8654,6.212,94.88,3.2285,1.2017,0.5424,9.3227,0.9586,9754.4,6.5054,54.341,29.32,12.412,0.77232,1.024,237.3,19.951,2.0136,3.4201,3.6527,1119.4,1.8194,0.65863,5.7559,1.2494,5.8229,30.901,3.1121,2013-03-23 00:00:00+00:00,1.0,
37,2.6667,40.838,7.7634,0.94316,1.5105,5.8654,6.212,94.88,3.2285,1.2017,0.5424,9.3227,0.9586,9754.4,6.5054,54.341,29.32,12.412,0.77232,1.024,237.3,19.951,2.0136,3.4201,3.6527,1119.4,1.8194,0.65863,5.7559,1.2494,5.8229,30.901,3.1121,2013-03-24 00:00:00+00:00,1.0,
38,2.6693,40.85,7.7619,0.94418,1.512,5.8705,6.2132,94.743,3.2166,1.1956,0.54279,9.2802,0.95524,9740.2,6.5219,54.226,29.307,12.348,0.7731,1.0204,236.92,19.898,2.0124,3.4132,3.6313,1109.8,1.8189,0.65837,5.7628,1.2436,5.8315,30.792,3.0986,2013-03-25 00:00:00+00:00,1.0,
39,2.7043,40.909,7.7627,0.95348,1.5318,5.9485,6.214,94.22,3.2752,1.1963,0.54934,9.2982,0.95818,9733.7,6.5022,54.465,29.3,12.401,0.78321,1.0169,238.19,20.207,2.0237,3.4567,3.6444,1112.7,1.8226,0.66193,5.8371,1.2444,5.8521,30.994,3.0977,2013-03-27 00:00:00+00:00,1.0,
40,2.6964,40.84,7.7642,0.95236,1.5274,5.9305,6.2163,94.393,3.2647,1.1955,0.54799,9.2308,0.96119,9721.2,6.525,54.327,29.225,12.351,0.78094,1.0169,237.74,20.102,2.0073,3.4512,3.6454,1112.8,1.8127,0.66037,5.8222,1.2417,5.8665,31.052,3.0964,2013-03-28 00:00:00+00:00,1.0,
41,2.6964,40.84,7.7642,0.95236,1.5274,5.9305,6.2163,94.393,3.2647,1.1955,0.54799,9.2308,0.96119,9721.2,6.525,54.327,29.225,12.351,0.78094,1.0169,237.74,20.102,2.0073,3.4512,3.6454,1112.8,1.8127,0.66037,5.8222,1.2417,5.8665,31.052,3.0964,2013-03-30 00:00:00+00:00,1.0,
